term,diff
tuberculosis,-0.0004425698006504056
thief,-0.0004411738520910227
perfect,-0.0004386117614204614
false,-0.0004375687833172641
wide,-0.00043695935476374746
conservative,-0.00043595395319580944
gop,-0.0004333489533891778
voter,-0.00043292332499069754
attempt,-0.00042988886732547805
lunatic,-0.00042819461180805735
war america,-0.0004250581034762
mad,-0.0004248434304771283
political,-0.0004180466399670154
empire,-0.00041704529568748904
virus,-0.000414710362638342
medical,-0.0004146284508145171
bible,-0.0004093272029913965
devil,-0.0004090928752934777
ball,-0.00040893314118869344
filth,-0.00040856133566188316
cop,-0.00040817308791708123
trafficking,-0.00040795382722739527
mile,-0.00040768611039910835
country world,-0.00040472118153889414
united states,-0.00040292805990446365
ring,-0.00039671878502237507
russia,-0.00039472587501779635
slave,-0.00039158625849646835
mexican cartel,-0.00038971004873923393
dude,-0.0003882345283737719
ship,-0.0003840945589966449
republicans,-0.0003825607057188435
local,-0.0003805479803188175
harris,-0.0003758215576730215
self,-0.00037573042024010347
officer,-0.0003739526532557884
killer,-0.00037309906387243805
male,-0.0003727785976180931
homeless illegal,-0.000372003894084866
border,-0.000369280954768585
drugs,-0.0003680050973188391
payer,-0.0003615546127437605
social security,-0.00036140183219384066
surprised,-0.0003573155948209992
church,-0.00035271866417479147
people border,-0.00035142412703139227
big threat,-0.00035050443491982494
dirt,-0.0003500313432859187
look,-0.0003498412681181749
employee,-0.00034923400031638805
suicide,-0.00034576764601118554
plane,-0.00034504922397443334
public,-0.0003415881883393776
care,-0.00034037796914548066
foot,-0.0003398124337664108
individual,-0.00033920386189949356
biden,-0.0003388195403763476
knife,-0.0003370110657485211
treasonous,-0.00033599135865864326
light,-0.00033581795374321583
rampant,-0.00033496169917478967
slavery,-0.000334067096154004
people drug,-0.00033317605836844335
taxpayer,-0.0003327081495946367
corrupt,-0.00033023454803335654
way life,-0.00032992687778390613
sex,-0.0003280601513790376
ed,-0.0003263936047795179
national security,-0.00032049665128920787
woke,-0.00032028396387559846
civil war,-0.00031922231839158575
mafia,-0.00031842182452208553
american citizen,-0.0003158247642199184
parent,-0.00031309210829740214
movement,-0.0003127524698678055
language,-0.00031251576767085275
greed,-0.00031137707469210173
democracy,-0.0003104453474740182
lawlessness,-0.00030960827736379394
list,-0.000309530268675467
action,-0.0003092780683329403
obvious,-0.0003086251839178576
minor,-0.0003078940733805436
illness,-0.0003059651682289207
secret,-0.00030491719113701673
multiple,-0.00030488122529783975
century,-0.0003039972230343443
market,-0.00030274465316114315
china russia,-0.00030141559948263863
biden administration,-0.0002997747750781159
corner,-0.00029958459354599635
daily,-0.0002958634934666411
health,-0.0002945303192706393
record,-0.0002922821682792465
space,-0.0002913986284628279
situation,-0.00029062218876747836
disaster,-0.0002899393969495816
line,-0.0002885960487322612
capitol,-0.000287124215878222
service,-0.00028666118178504027
gender,-0.0002861273899607094
mess,-0.00028409579493327735
dirty,-0.00028380496101795035
rest,-0.00028108688528156187
maga,-0.0002790443520647243
illegal america,-0.00027857240742634173
stupid,-0.0002773685881786478
blm,-0.000273506381563834
border patrol,-0.0002702697271158782
fascist,-0.0002692182322409322
patrol,-0.0002690255143494732
fbi,-0.00026897761360254204
son,-0.00026651762907515197
states america,-0.0002663798366660344
mass,-0.00026467165480392307
south america,-0.0002646174562161715
communist,-0.00026452145333026676
welfare,-0.00026416537268216184
youth,-0.00026332616981416553
wage,-0.0002557369810505934
responsible,-0.0002555489665864842
straight,-0.0002527945218876447
likely,-0.00025154498941893624
bankrupt,-0.0002490195735265761
tax dollar,-0.0002454326974050926
weak,-0.00024217377312815258
skin,-0.000238941930461717
civilization,-0.00023681929378288272
country year,-0.00023645669080179257
form,-0.00023572621985610927
right wing,-0.00023442666896347672
great nation,-0.00023385174907739916
child child,-0.00023216423018258229
town,-0.00023043796504961704
dog,-0.00023003089092180355
consequence,-0.00022809590116398956
sex trafficking,-0.00022805733047988314
window,-0.00022751493714582758
tired,-0.00022651248002118643
joe,-0.00022639801113972027
easy,-0.00022621041344840043
important,-0.00022537351106036185
foreign,-0.00022521733920633272
dangerous people,-0.00022436326942196113
office,-0.00022366018193627202
sort,-0.00022189316154742916
terrorist group,-0.00022154095963996357
fellow,-0.00022113324076606392
lack,-0.0002211147098530581
innocent child,-0.0002185978356800549
relative,-0.0002161601003311439
kind,-0.00021594846358930094
